title,year,genre,director,plot
Starlight Echo,2019,Sci-Fi,A. Rivera,A small crew discovers a signal that changes their perception of time.
Autumn Harbor,2017,Drama,M. Chen,A retired sailor returns to his coastal town to reconnect with his estranged daughter.
Midnight Orchard,2021,Thriller,K. Alvarez,A botanist uncovers a bioluminescent fruit with dangerous side effects.
Paper Lanterns,2015,Romance,S. Ito,Two strangers find romance while restoring an old neighborhood festival.
Iron Compass,2022,Action,R. Patel,A salvage diver races to recover a mysterious device before rival mercenaries.
Quiet Snow,2018,Drama,L. Müller,Neighbors in a mountain village face secrets revealed by an unexpected winter storm.
Neon Carousel,2020,Comedy,J. O'Neill,A struggling magician takes a job entertaining at a failing amusement park.
Glass Atlas,2016,Fantasy,E. Nkrumah,An apprentice cartographer maps a shifting world where maps reshape reality.
Blue Signal,2014,Crime,T. Novak,A detective follows a thread of clues tied to an old sailor's radio broadcast.
Sunset Protocol,2023,Sci-Fi,D. Fernandes,Engineers must decide whether to activate a system that could redirect the sun's energy.
